label,N,support,f1_baseline,f1_floor21,f1_gated,fp_baseline,fp_floor21,fp_gated
hsb_Latn,28261,59,1.0,1.0,1.0,0,0,0
hun_Latn,100000,59,1.0,1.0,0.9752066115702479,0,0,3
hus_Latn,57511,175,0.9825581395348837,0.9825581395348837,0.9825581395348837,0,0,0
huu_Latn,24119,58,1.0,1.0,1.0,0,0,0
hye_Armn,100000,71,0.9710144927536231,0.9710144927536231,0.9710144927536231,0,0,0
ibo_Latn,100000,58,1.0,1.0,1.0,0,0,0
ido_Latn,33665,55,0.9719626168224299,0.9719626168224299,0.9719626168224299,0,0,0
idu_Latn,59832,51,0.891304347826087,0.9375,0.9375,0,0,0
ike_Cans,30725,44,1.0,1.0,1.0,0,0,0
ilo_Latn,100000,58,1.0,1.0,0.983050847457627,0,0,2
ina_Latn,56283,58,1.0,1.0,1.0,0,0,0
ind_Latn,100000,60,0.8807339449541285,0.8727272727272728,0.8648648648648648,1,2,3
isl_Latn,100000,58,1.0,1.0,1.0,0,0,0
ita_Latn,100000,58,1.0,1.0,1.0,0,0,0
jav_Java,6597,62,1.0,1.0,1.0,0,0,0
jav_Latn,100000,60,0.9672131147540983,0.9672131147540983,0.9291338582677166,3,3,8
jiv_Latn,17510,60,0.7763157894736841,0.7763157894736841,0.7919463087248322,33,33,30
jpn_Jpan,100000,143,1.0,1.0,1.0,0,0,0
kaa_Cyrl,38209,58,1.0,1.0,1.0,0,0,0
kab_Latn,100000,58,1.0,1.0,1.0,0,0,0
kal_Latn,100000,58,0.9913043478260869,0.9827586206896551,0.9579831932773109,0,1,4
kan_Knda,100000,58,1.0,1.0,1.0,0,0,0
kat_Geor,100000,58,1.0,1.0,1.0,0,0,0
kaz_Cyrl,100000,58,1.0,1.0,0.9747899159663865,0,0,3
kbd_Cyrl,46268,55,0.9909909909909909,0.9909909909909909,0.9909909909909909,1,1,1
kbp_Latn,100000,59,0.943089430894309,0.943089430894309,0.944,6,6,7
kbr_Latn,12888,59,1.0,1.0,0.9827586206896551,0,0,0
kde_Latn,26927,51,0.9803921568627451,0.9803921568627451,0.9803921568627451,1,1,1
kdh_Latn,1820,59,0.9516129032258065,0.9830508474576272,0.9914529914529915,6,1,0
kea_Latn,100000,58,0.4171779141104294,0.3885714285714286,0.3756906077348066,71,83,89
kek_Latn,100000,57,1.0,1.0,1.0,0,0,0
kha_Latn,34095,58,1.0,1.0,1.0,0,0,0
khk_Cyrl,100000,57,1.0,1.0,1.0,0,0,0
khm_Khmr,100000,59,1.0,1.0,1.0,0,0,0
kin_Latn,100000,59,0.94017094017094,0.94017094017094,0.9322033898305084,3,3,4
kir_Cyrl,100000,58,1.0,1.0,1.0,0,0,0
kjh_Cyrl,39529,57,0.9500000000000001,0.9421487603305785,0.9421487603305785,6,7,7
kmb_Latn,100000,116,0.9824561403508771,0.9824561403508771,0.9824561403508771,0,0,0
kmr_Latn,100000,58,0.9824561403508771,0.9824561403508771,0.9824561403508771,0,0,0
knc_Latn,9356,64,1.0,0.9922480620155039,0.9922480620155039,0,1,1
kng_Latn,100000,115,0.31759656652360513,0.32478632478632474,0.32478632478632474,81,81,81
koi_Cyrl,13537,57,0.9821428571428572,0.9821428571428572,0.972972972972973,0,0,0
koo_Latn,100000,54,1.0,1.0,1.0,0,0,0
kor_Hang,100000,58,1.0,1.0,1.0,0,0,0
kqn_Latn,100000,59,0.95,0.9344262295081968,0.912,4,6,9
kqs_Latn,11046,58,0.7916666666666666,0.6666666666666666,0.3188405797101449,0,0,0
kri_Latn,100000,58,1.0,1.0,1.0,0,0,0
krl_Latn,9341,183,0.0,0.0,0.0,0,0,0
ktu_Latn,21343,118,0.4114285714285714,0.4114285714285714,0.4114285714285714,21,21,21
kwi_Latn,17740,145,0.7168141592920354,0.6936936936936936,0.5572139303482587,0,0,0
lad_Latn,10070,58,0.8818897637795277,0.896,0.9256198347107438,13,11,7
lao_Laoo,33981,57,1.0,1.0,1.0,0,0,0
lat_Latn,100000,118,0.9957446808510638,0.9957446808510638,0.9957446808510638,0,0,0
lia_Latn,13468,45,1.0,1.0,1.0,0,0,0
lij_Latn,35338,58,0.7581699346405228,0.7295597484276729,0.7295597484276729,37,43,43
lin_Latn,100000,110,0.9622641509433962,0.9719626168224299,0.9861751152073733,0,0,0
lit_Latn,100000,58,1.0,1.0,0.9914529914529915,0,0,1
lld_Latn,814,59,0.5977011494252874,0.21212121212121215,0.18461538461538463,2,0,0
lob_Latn,13529,58,0.9913043478260869,0.9824561403508771,0.9734513274336283,0,0,0
loz_Latn,100000,58,0.9824561403508771,0.9572649572649573,0.9661016949152542,0,3,3
ltz_Latn,100000,59,0.9586776859504132,0.9586776859504132,0.9586776859504132,4,4,4
lua_Latn,100000,58,0.54320987654321,0.54320987654321,0.54320987654321,1,1,1
lue_Latn,100000,58,0.9914529914529915,0.9914529914529915,0.9914529914529915,1,1,1
lug_Latn,100000,49,1.0,0.98989898989899,0.98989898989899,0,1,1
lun_Latn,100000,56,0.9636363636363636,0.9636363636363636,0.972972972972973,1,1,1
lus_Latn,100000,58,1.0,1.0,1.0,0,0,0
lvs_Latn,100000,115,1.0,1.0,1.0,0,0,0
mad_Latn,44560,60,0.9915966386554621,0.9915966386554621,0.9915966386554621,0,0,0
mag_Deva,12847,53,0.7663551401869159,0.7663551401869159,0.7619047619047619,13,13,12
mah_Latn,100000,58,1.0,1.0,1.0,0,0,0
