lang,n_scoreable,n_self_won,tau,excluded,cause
bjn_Latn,2000,1847,4.100179672241212,False,
sco_Latn,2000,1985,10.849447631835938,False,
srp_Latn,2000,1776,1.9087028503417969,False,
