lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
bus_Latn,23216,False,0.9817557415754454,50,0.9815450643776824,51,0.9815450643776824,51,2322
bvc_Latn,6694,False,0.988666085440279,13,0.9912587412587412,10,0.9982394366197184,2,567
bvd_Latn,4273,False,0.9757489300998574,14,0.9813486370157819,10,0.9869375907111756,4,345
bvr_Latn,17732,False,0.9822916666666667,34,0.9802494802494802,38,0.9952506596306069,9,943
bvz_Latn,12855,False,0.9960191082802548,10,0.9948310139165009,13,0.9984038308060655,4,1251
bwd_Latn,3872,False,0.6399999999999999,54,0.7499999999999999,32,0.8347826086956522,19,48
bwi_Latn,221,False,0.11267605633802817,63,0.888888888888889,1,1.0,0,4
bwq_Latn,13507,False,0.9953124999999999,8,0.9945269741985927,8,0.9952830188679246,0,1278
bwu_Latn,17557,False,0.9953325554259044,13,0.9950422863808691,14,0.9976580796252928,3,1709
bxh_Latn,7138,False,0.9696498054474708,37,0.975724353954581,29,0.9879903923138511,7,625
bxr_Cyrl,28040,False,0.9469285415796072,157,0.9469285415796072,157,0.9469285415796072,157,2363
byr_Latn,18296,False,0.9988801791713325,4,0.9988801791713325,4,0.9988801791713325,4,1784
byv_Latn,1735,False,0.7346938775510204,39,0.9473684210526316,6,1.0,0,54
byx_Latn,17508,False,0.9968119022316684,6,0.996282527881041,7,0.9984017048481619,2,938
bzd_Latn,25300,False,0.984009840098401,18,0.981896287204664,25,0.981896287204664,25,1634
bzh_Latn,24550,False,0.9943661971830986,7,0.9943661971830986,7,0.9943661971830986,7,707
bzi_Thai,11019,False,0.9533213644524238,103,0.9533213644524238,103,0.9962335216572504,3,1063
bzj_Latn,100000,False,0.990527018012008,80,0.9896522627348227,106,0.9876051350154935,166,11269
caa_Latn,17822,False,0.9988662131519274,4,0.9985831680362709,5,0.9994324631101021,1,1762
cab_Latn,100000,False,0.9957861531580311,68,0.9956473660682775,83,0.9948281536508533,118,21261
cac_Latn,54632,False,0.9938368580060423,14,0.9937167713871435,15,0.9937167713871435,15,4149
caf_Latn,17803,False,0.987601078167116,14,0.9865374259558427,16,0.988133764832794,13,925
cag_Latn,12070,False,0.9947089947089947,3,0.9947136563876653,4,0.9938271604938271,4,1137
cak_Latn,100000,False,0.9835502384609166,100,0.9835509032857777,101,0.9832727272727272,115,25049
cao_Latn,17717,False,0.9919828968466061,15,0.9919828968466061,15,0.9983862291554599,3,928
cap_Latn,28831,False,0.9975961538461539,10,0.9975961538461539,10,0.9975961538461539,10,2075
caq_Latn,31638,False,0.998295894655306,5,0.9982980040228996,9,0.9982980040228996,9,3228
car_Latn,18987,False,0.9865030674846625,28,0.9881196231052848,24,0.9881196231052848,24,1211
cas_Latn,6696,False,0.986644407345576,16,0.9891213389121338,13,0.9974683544303797,3,591
cat_Latn,100000,False,0.9891888143964244,810,0.9894512463196601,924,0.9895061728395061,1184,188708
cav_Latn,17546,False,0.9930475086906141,10,0.9936231884057971,9,0.9959278650378126,4,859
cax_Latn,28858,False,0.9971014492753623,12,0.9971014492753623,12,0.9971014492753623,12,2064
cbc_Latn,17534,False,0.9926231926822071,3,0.9926231926822071,3,0.9929161747343564,2,1704
cbi_Latn,10976,False,0.9940476190476191,11,0.9935547843331681,12,0.9970119521912351,4,1003
cbk_Latn,100000,False,0.9502124515056346,779,0.9470149940207893,861,0.943287407882089,957,10586
