lang,tier
nsn_Latn,genus_script
nso_Latn,genus_script
nss_Latn,script
nst_Latn,genus_script
nsu_Latn,script
ntp_Latn,family_script
ntr_Latn,script
ntu_Latn,genus_script
nuj_Latn,script
nus_Latn,genus_script
nuy_Latn,script
nuz_Latn,script
nvm_Latn,script
nwb_Latn,script
nwi_Latn,genus_script
nwx_Deva,script
nxd_Latn,script
nya_Latn,genus_script
nyf_Latn,script
nyk_Latn,script
nyn_Latn,genus_script
nyo_Latn,genus_script
nyu_Latn,script
nyy_Latn,script
nza_Latn,script
nzi_Latn,script
nzm_Latn,family_script
obo_Latn,script
oci_Latn,genus_script
ogo_Latn,family_script
ojb_Cans,script
ojb_Latn,script
oke_Latn,script
oku_Latn,family_script
okv_Latn,genus_script
old_Latn,genus_script
olo_Latn,script
omb_Latn,genus_script
omw_Latn,script
ong_Latn,family_script
ons_Latn,genus_script
ood_Latn,family_script
opm_Latn,family_script
orv_Cyrl,script
ory_Latn,genus_script
ory_Orya,none
oss_Cyrl,family_script
ota_Arab,script
otd_Latn,script
ote_Latn,family_script
otm_Latn,family_script
otn_Latn,script
oto_Latn,script
otq_Latn,family_script
ots_Latn,script
otw_Latn,script
oym_Latn,genus_script
ozm_Latn,script
pab_Latn,family_script
pad_Latn,script
pag_Latn,genus_script
pah_Latn,script
pam_Latn,family_script
pan_Guru,none
pan_Latn,genus_script
pao_Latn,family_script
pap_Latn,genus_script
pau_Latn,family_script
pbb_Latn,script
pbc_Latn,script
pbi_Latn,family_script
pbt_Arab,script
pcd_Latn,script
pck_Latn,genus_script
pcm_Latn,genus_script
pdc_Latn,script
pdt_Latn,script
pem_Latn,script
pfe_Latn,script
pfl_Latn,script
phm_Latn,script
pib_Latn,family_script
pio_Latn,family_script
pir_Latn,script
pis_Latn,script
pjt_Latn,script
pkb_Latn,script
plg_Latn,script
pls_Latn,script
plt_Latn,family_script
plu_Latn,family_script
plw_Latn,script
pma_Latn,genus_script
pmf_Latn,family_script
pmq_Latn,script
pms_Latn,genus_script
pmx_Latn,script
pnb_Arab,script
pne_Latn,script
pnt_Grek,script
pny_Latn,script
poe_Latn,family_script
poh_Latn,genus_script
poi_Latn,genus_script
pol_Latn,genus_script
pon_Latn,genus_script
por_Latn,genus_script
pos_Latn,genus_script
pot_Latn,script
pov_Latn,genus_script
poy_Latn,genus_script
ppk_Latn,family_script
ppo_Latn,script
pps_Latn,script
prf_Latn,script
prg_Latn,script
pri_Latn,script
prq_Latn,script
pse_Latn,script
pss_Latn,genus_script
ptp_Latn,genus_script
ptu_Latn,genus_script
pua_Latn,script
pui_Latn,script
pwg_Latn,genus_script
pwn_Latn,family_script
pww_Thai,script
pxm_Latn,script
qub_Latn,genus_script
quc_Latn,genus_script
quf_Latn,script
qug_Latn,genus_script
quh_Latn,genus_script
qul_Latn,genus_script
qup_Latn,script
qus_Latn,script
quw_Latn,script
quy_Latn,genus_script
quz_Latn,genus_script
qva_Latn,script
qvc_Latn,genus_script
qve_Latn,script
qvh_Latn,script
qvi_Latn,genus_script
qvm_Latn,script
qvn_Latn,genus_script
qvo_Latn,script
qvs_Latn,script
qvw_Latn,script
qvz_Latn,script
qwh_Latn,script
qxh_Latn,script
qxl_Latn,script
qxn_Latn,script
qxo_Latn,script
qxr_Latn,script
rad_Latn,genus_script
rai_Latn,script
ram_Latn,script
rap_Latn,genus_script
rar_Latn,script
rav_Deva,script
raw_Latn,family_script
rcf_Latn,script
rej_Latn,family_script
rel_Latn,family_script
rgu_Latn,script
rhg_Latn,script
ria_Latn,script
rim_Latn,genus_script
rjs_Deva,script
rkb_Latn,script
rmc_Latn,script
rme_Latn,script
rml_Latn,genus_script
rmn_Cyrl,family_script
rmn_Grek,script
rmn_Latn,genus_script
rmo_Latn,genus_script
rmq_Latn,script
rmy_Cyrl,family_script
rmy_Latn,genus_script
rnd_Latn,script
rng_Latn,genus_script
rnl_Latn,script
roh_Latn,genus_script
ron_Cyrl,family_script
ron_Latn,genus_script
roo_Latn,script
rop_Latn,genus_script
row_Latn,script
rro_Latn,genus_script
rtm_Latn,genus_script
rub_Latn,script
rue_Cyrl,script
ruf_Latn,script
rug_Latn,genus_script
run_Latn,genus_script
rup_Latn,script
rus_Cyrl,genus_script
rwo_Latn,family_script
sab_Latn,script
sag_Latn,family_script
sah_Cyrl,genus_script
saj_Latn,script
san_Deva,script
san_Latn,script
sas_Latn,script
sat_Latn,family_script
sat_Olck,none
say_Latn,script
sba_Latn,genus_script
sbd_Latn,script
sbe_Latn,genus_script
sbl_Latn,script
sbs_Latn,genus_script
sby_Latn,script
sck_Deva,script
scn_Latn,script
sco_Latn,script
sda_Latn,genus_script
sdc_Latn,script
sdh_Arab,script
sdo_Latn,family_script
sdq_Latn,script
seh_Latn,genus_script
sel_Cyrl,family_script
ses_Latn,script
sey_Latn,script
sfw_Latn,script
sgb_Latn,script
sgc_Latn,script
sgh_Cyrl,family_script
sgs_Latn,script
sgw_Ethi,family_script
sgz_Latn,genus_script
shi_Latn,family_script
shk_Latn,genus_script
shn_Mymr,script
shp_Latn,genus_script
shr_Latn,script
shu_Arab,genus_script
sid_Latn,family_script
sig_Latn,script
sil_Latn,genus_script
sim_Latn,script
sin_Sinh,none
sja_Latn,genus_script
sjo_Mong,none
sju_Latn,script
skg_Latn,script
skr_Arab,script
sld_Latn,script
slk_Latn,genus_script
sll_Latn,genus_script
slv_Latn,genus_script
sma_Latn,family_script
sme_Latn,family_script
smj_Latn,script
smk_Latn,script
sml_Latn,script
smn_Latn,script
smo_Latn,genus_script
sms_Latn,script
smt_Latn,script
sna_Latn,genus_script
snc_Latn,genus_script
snd_Arab,family_script
snd_Deva,genus_script
snd_Latn,genus_script
snf_Latn,family_script
snn_Latn,script
snp_Latn,genus_script
snw_Latn,script
sny_Latn,script
soe_Latn,script
som_Latn,family_script
sop_Latn,genus_script
soq_Latn,script
sot_Latn,genus_script
soy_Latn,script
spa_Latn,genus_script
spl_Latn,genus_script
spm_Latn,script
spp_Latn,family_script
sps_Latn,genus_script
spy_Latn,script
srd_Latn,script
sri_Latn,script
srm_Latn,genus_script
srn_Latn,genus_script
srp_Cyrl,script
srp_Latn,script
srq_Latn,genus_script
srr_Latn,script
ssd_Latn,family_script
ssg_Latn,script
ssw_Latn,genus_script
ssx_Latn,script
stn_Latn,script
stp_Latn,family_script
stq_Latn,script
sua_Latn,script
suc_Latn,script
sue_Latn,genus_script
suk_Latn,genus_script
sun_Latn,genus_script
sur_Latn,family_script
sus_Arab,script
sus_Latn,genus_script
suz_Deva,script
swb_Latn,genus_script
swc_Latn,script
swe_Latn,genus_script
swg_Latn,script
swh_Latn,genus_script
swk_Latn,script
swp_Latn,script
sxb_Latn,script
sxn_Latn,family_script
syb_Latn,script
syc_Syrc,script
syl_Beng,script
syl_Latn,script
syl_Sylo,none
szb_Latn,script
szl_Latn,script
szy_Latn,script
tab_Cyrl,script
tac_Latn,family_script
tah_Latn,genus_script
taj_Deva,script
tam_Latn,script
tam_Taml,none
tap_Latn,genus_script
taq_Latn,family_script
taq_Tfng,none
tar_Latn,family_script
tat_Cyrl,genus_script
tat_Latn,genus_script
tav_Latn,script
taw_Latn,script
tay_Latn,family_script
tbc_Latn,genus_script
tbg_Latn,family_script
tbk_Latn,script
tbl_Latn,family_script
tbo_Latn,genus_script
tbw_Latn,genus_script
tby_Latn,script
tbz_Latn,script
tca_Latn,script
tcc_Latn,family_script
tcf_Latn,family_script
tcs_Latn,genus_script
tcy_Knda,script
tcz_Latn,genus_script
tdx_Latn,script
ted_Latn,script
tee_Latn,script
tel_Latn,script
tel_Telu,none
tem_Latn,family_script
teo_Latn,genus_script
ter_Latn,family_script
tet_Latn,family_script
tew_Latn,script
tfr_Latn,script
tgk_Cyrl,family_script
tgo_Latn,genus_script
tgp_Latn,script
tha_Thai,script
thk_Latn,script
thl_Deva,script
thv_Latn,family_script
tif_Latn,genus_script
tig_Ethi,family_script
tih_Latn,family_script
tik_Latn,family_script
tim_Latn,script
tir_Ethi,family_script
tiv_Latn,family_script
tiy_Latn,family_script
tke_Latn,script
tkl_Latn,genus_script
tkr_Cyrl,script
tku_Latn,script
tlb_Latn,script
tlf_Latn,genus_script
tlh_Latn,script
tlj_Latn,genus_script
tll_Latn,genus_script
tly_Latn,family_script
tmc_Latn,family_script
tmd_Latn,script
tna_Latn,family_script
tnc_Latn,script
tnk_Latn,genus_script
tnn_Latn,script
tnp_Latn,script
tnr_Latn,script
tob_Latn,script
toc_Latn,script
tod_Latn,script
tog_Latn,script
toh_Latn,script
toi_Latn,genus_script
toj_Latn,genus_script
tok_Latn,script
ton_Latn,genus_script
too_Latn,script
top_Latn,script
tos_Latn,script
tpa_Latn,script
tpi_Latn,genus_script
tpm_Latn,genus_script
tpn_Latn,genus_script
tpp_Latn,script
tpt_Latn,script
tpw_Latn,script
tpz_Latn,script
tqo_Latn,script
trc_Latn,family_script
trn_Latn,script
tro_Latn,genus_script
trp_Latn,genus_script
trq_Latn,script
trs_Latn,family_script
trv_Latn,family_script
tsc_Latn,script
tsg_Latn,genus_script
tsn_Latn,genus_script
tso_Latn,genus_script
tsw_Latn,script
tsz_Latn,script
ttc_Latn,genus_script
tte_Latn,script
ttj_Latn,script
ttq_Latn,script
ttq_Tfng,none
tuc_Latn,script
tue_Latn,script
tuf_Latn,script
tui_Latn,family_script
tuk_Arab,genus_script
tuk_Cyrl,genus_script
tuk_Latn,genus_script
tul_Latn,script
tum_Latn,script
tuo_Latn,script
tur_Latn,genus_script
tuv_Latn,genus_script
tvk_Latn,genus_script
tvl_Latn,genus_script
twb_Latn,script
twi_Latn,script
twu_Latn,family_script
twx_Latn,script
txq_Latn,script
txu_Latn,script
tyv_Cyrl,genus_script
tzh_Latn,genus_script
tzj_Latn,genus_script
tzl_Latn,script
tzm_Tfng,none
tzo_Latn,genus_script
ubr_Latn,script
ubu_Latn,genus_script
udm_Cyrl,family_script
udu_Latn,script
uig_Arab,genus_script
uig_Cyrl,genus_script
uig_Latn,genus_script
ukr_Cyrl,genus_script
umb_Latn,genus_script
upv_Latn,genus_script
ura_Latn,script
urb_Latn,genus_script
urd_Arab,family_script
urd_Latn,genus_script
urh_Latn,genus_script
uri_Latn,family_script
urk_Thai,script
urt_Latn,family_script
urw_Latn,script
ury_Latn,script
usa_Latn,genus_script
usp_Latn,script
uth_Latn,script
uvh_Latn,script
uvl_Latn,script
uzn_Cyrl,genus_script
uzn_Latn,genus_script
uzs_Arab,genus_script
vag_Latn,genus_script
vap_Latn,script
var_Latn,family_script
vec_Latn,script
ven_Latn,genus_script
vep_Latn,family_script
vid_Latn,script
vie_Latn,family_script
viv_Latn,genus_script
vls_Latn,script
vmk_Latn,script
vmw_Latn,script
vmy_Latn,script
vol_Latn,script
vot_Latn,family_script
vro_Latn,script
vun_Latn,script
vut_Latn,script
waj_Latn,script
wal_Ethi,family_script
wal_Latn,genus_script
wap_Latn,family_script
war_Latn,genus_script
wat_Latn,script
way_Latn,genus_script
wba_Latn,script
wbm_Latn,script
wbp_Latn,script
wed_Latn,genus_script
wer_Latn,family_script
wes_Latn,script
wew_Latn,script
whg_Latn,genus_script
whk_Latn,script
wib_Latn,family_script
wim_Latn,script
wiu_Latn,script
wln_Latn,script
wls_Latn,genus_script
wlv_Latn,script
wlx_Latn,script
wmt_Latn,script
wmw_Latn,script
wnc_Latn,family_script
wnu_Latn,family_script
wob_Latn,family_script
wol_Latn,family_script
wos_Latn,genus_script
wrk_Latn,script
wrs_Latn,script
wsg_Telu,script
wsk_Latn,family_script
wuu_Hani,genus_script
wuv_Latn,script
wwa_Latn,genus_script
xal_Cyrl,family_script
xav_Latn,script
xbi_Latn,family_script
xbr_Latn,family_script
xed_Latn,family_script
xho_Latn,genus_script
xla_Latn,script
xmf_Geor,script
xmm_Latn,genus_script
xmv_Latn,script
xnn_Latn,script
xog_Latn,script
xon_Latn,genus_script
xrb_Latn,script
xsb_Latn,script
xsi_Latn,genus_script
xsm_Latn,genus_script
xsr_Deva,script
xsu_Latn,script
xtd_Latn,script
xtm_Latn,script
xtn_Latn,script
xum_Latn,script
xuo_Latn,family_script
yaa_Latn,genus_script
yad_Latn,script
yal_Latn,script
yam_Latn,family_script
yan_Latn,script
yao_Latn,genus_script
yap_Latn,family_script
yaq_Latn,family_script
yas_Latn,genus_script
yat_Latn,script
yaz_Latn,script
ybb_Latn,family_script
yby_Latn,script
ycn_Latn,family_script
ydd_Hebr,script
yim_Latn,script
yka_Latn,family_script
yle_Latn,script
yli_Latn,family_script
yml_Latn,script
yom_Latn,genus_script
yon_Latn,script
yor_Latn,family_script
yrb_Latn,family_script
yre_Latn,script
yrk_Cyrl,family_script
yrl_Latn,script
yss_Latn,family_script
yua_Latn,genus_script
yue_Hani,genus_script
yuj_Latn,script
yup_Latn,genus_script
yut_Latn,script
yuw_Latn,script
yuz_Latn,script
yva_Latn,script
zaa_Latn,genus_script
zab_Latn,genus_script
zac_Latn,script
zad_Latn,script
zae_Latn,script
zai_Latn,genus_script
zam_Latn,script
zao_Latn,script
zar_Latn,script
zas_Latn,script
zat_Latn,script
zav_Latn,genus_script
zaw_Latn,genus_script
zca_Latn,script
zdj_Latn,script
zea_Latn,genus_script
zgh_Tfng,none
zia_Latn,script
ziw_Latn,script
zne_Latn,family_script
zoc_Latn,genus_script
zom_Latn,script
zos_Latn,genus_script
zpa_Latn,script
zpc_Latn,script
zpg_Latn,script
zpi_Latn,genus_script
zpj_Latn,script
zpl_Latn,script
zpm_Latn,genus_script
zpo_Latn,script
zpq_Latn,genus_script
zpt_Latn,script
zpu_Latn,script
zpv_Latn,script
zpz_Latn,genus_script
zsm_Arab,script
zsm_Latn,genus_script
zsr_Latn,script
ztq_Latn,script
zty_Latn,script
zul_Latn,genus_script
zyb_Latn,script
zyp_Latn,script
