lang,script,N,logN,H,zH,peak,k_close,d_nn,nn_lang,d_up,target_lang,up_resratio,support_val,fp_val,magnet_ratio,category
aai_Latn,Latn,24580,4.391,2.8632,0.172,0.2,44,0.875,ubr_Latn,0.875,ubr_Latn,0.9088,7,0,0.0,head
aak_Latn,Latn,24062,4.381,2.7374,-1.589,0.2,0,1.0136,tpn_Latn,1.2836,agm_Latn,0.987,20,0,0.0,head
aau_Latn,Latn,24485,4.389,2.811,-0.56,0.2,5,0.968,mgm_Latn,1.2171,diq_Latn,0.873,5,0,0.0,head
aaz_Latn,Latn,20777,4.318,2.87,0.266,0.2,35,0.6453,aoz_Latn,1.0935,bjn_Latn,0.7513,13,0,0.0,head
aba_Latn,Latn,18107,4.258,2.8095,-0.58,0.2,43,0.839,mev_Latn,1.0908,ajg_Latn,0.6197,16,2,0.118,head
abi_Latn,Latn,6735,3.828,2.8745,0.329,0.2,57,0.8351,mev_Latn,0.9132,aha_Latn,0.4451,8,0,0.0,mid
abk_Cyrl,Cyrl,100000,5.0,2.6875,-2.402,0.2,8,0.8949,abq_Cyrl,,,,1228,0,0.0,head
abn_Latn,Latn,47050,4.673,2.7961,-0.768,0.2,32,0.9465,kdr_Latn,1.0607,oke_Latn,0.9219,50,2,0.039,head
abq_Cyrl,Cyrl,141,2.152,3.6079,9.733,0.2,319,0.228,ldn_Latn,0.252,lbe_Cyrl,0.7747,0,0,0.0,flat_magnet
abs_Latn,Latn,1335,3.126,3.2228,5.203,0.2,639,0.3601,max_Latn,0.4233,mui_Latn,0.5154,2,43,14.333,flat_magnet
abt_Latn,Latn,46820,4.67,2.783,-0.952,0.2,1,0.9934,wos_Latn,1.1797,jav_Latn,0.4682,16,0,0.0,head
abx_Latn,Latn,17721,4.249,2.9316,1.129,0.2,79,0.7889,hil_Latn,0.7889,hil_Latn,0.1772,13,0,0.0,mid
aby_Latn,Latn,21889,4.34,2.8044,-0.651,0.2,5,0.631,yrb_Latn,1.2013,kqc_Latn,0.9822,4,0,0.0,head
abz_Latn,Latn,13333,4.125,2.95,1.386,0.2,208,0.6449,ind_Latn,0.6449,ind_Latn,0.1333,12,14,1.077,mid
aca_Latn,Latn,7493,3.875,2.8401,-0.153,0.2,46,0.8483,tzl_Latn,0.9338,pio_Latn,0.4289,9,0,0.0,mid
acd_Latn,Latn,17727,4.249,2.7708,-1.121,0.2,1,0.9272,mev_Latn,1.0588,bam_Latn,0.9481,14,0,0.0,mid
ace_Arab,Arab,6107,3.786,2.8393,-0.017,0.2,45,0.1031,bjn_Arab,0.1031,bjn_Arab,0.9995,8,5,0.556,twin
ace_Latn,Latn,47937,4.681,2.9268,1.061,0.2,129,0.6291,sun_Latn,0.6291,sun_Latn,0.4794,46,2,0.043,head
acf_Latn,Latn,34818,4.542,2.7991,-0.726,0.2,18,0.3139,gcf_Latn,0.3139,gcf_Latn,0.5167,18,0,0.0,head
ach_Latn,Latn,42880,4.632,2.9048,0.753,0.2,79,0.3864,laj_Latn,0.6958,alz_Latn,0.4622,28,1,0.034,head
acm_Arab,Arab,4566,3.66,2.9701,2.721,0.2,84,0.0583,ars_Arab,0.0583,ars_Arab,0.2463,7,46,5.75,flat_magnet
acn_Latn,Latn,17803,4.251,2.7833,-0.946,0.2,15,0.9356,kas_Latn,1.2264,bjn_Latn,0.6438,6,0,0.0,mid
acr_Latn,Latn,67975,4.832,2.9188,0.95,0.2,18,0.3172,quc_Latn,0.3172,quc_Latn,0.6797,40,0,0.0,head
acu_Latn,Latn,24513,4.389,2.8681,0.24,0.2,36,0.3428,hub_Latn,0.6744,agr_Latn,0.7611,12,0,0.0,head
ada_Latn,Latn,100000,5.0,2.7501,-1.411,0.2,13,0.6903,gaa_Latn,,,,183,1,0.005,head
ade_Latn,Latn,13525,4.131,2.7963,-0.765,0.2,22,0.9242,eto_Latn,1.1255,bam_Latn,0.7234,10,0,0.0,mid
adh_Latn,Latn,23111,4.364,2.9204,0.972,0.2,91,0.6125,luo_Latn,0.6125,luo_Latn,0.2311,17,0,0.0,head
adi_Latn,Latn,30503,4.484,2.883,0.448,0.2,52,0.8899,asm_Latn,0.9862,jav_Latn,0.305,31,0,0.0,head
adj_Latn,Latn,17702,4.248,2.7811,-0.978,0.2,23,0.9022,kdr_Latn,1.1755,bam_Latn,0.9468,17,0,0.0,mid
adl_Latn,Latn,11055,4.044,2.8246,-0.369,0.2,37,0.8998,kdr_Latn,1.0335,adi_Latn,0.3624,12,0,0.0,mid
ady_Cyrl,Cyrl,5894,3.77,2.837,-0.431,0.2,62,0.3315,kbd_Cyrl,0.3315,kbd_Cyrl,0.1274,8,0,0.0,mid
adz_Latn,Latn,3796,3.579,2.9012,0.703,0.2,81,0.7519,kdr_Latn,0.9926,tel_Latn,0.9396,3,0,0.0,mid
aeb_Arab,Arab,25840,4.412,2.8422,0.043,0.2,22,0.2391,ary_Arab,0.2391,ary_Arab,0.2584,27,9,0.321,head
aer_Latn,Latn,12314,4.09,2.7866,-0.9,0.2,9,0.8028,aly_Latn,1.2698,sco_Latn,0.1408,17,0,0.0,mid
aeu_Latn,Latn,17719,4.248,2.7104,-1.968,0.2,0,1.0364,kas_Latn,1.284,vro_Latn,0.3464,8,0,0.0,mid
aey_Latn,Latn,25992,4.415,2.8101,-0.572,0.2,14,0.9591,tzl_Latn,1.1088,sun_Latn,0.2599,11,0,0.0,head
afr_Latn,Latn,100000,5.0,2.908,0.798,0.2,159,0.3108,nld_Latn,,,,1223,21,0.017,head
agd_Latn,Latn,31162,4.494,2.8439,-0.099,0.2,9,0.9785,goh_Latn,1.1092,pap_Latn,0.3116,10,1,0.091,head
agg_Latn,Latn,24084,4.382,2.7454,-1.477,0.2,0,1.0267,kqa_Latn,1.1762,agm_Latn,0.9879,6,0,0.0,head
agm_Latn,Latn,24380,4.387,2.7581,-1.3,0.2,1,0.9815,kqa_Latn,1.2986,cax_Latn,0.8448,9,0,0.0,head
agn_Latn,Latn,17794,4.25,2.9021,0.715,0.2,75,0.7347,tbk_Latn,0.8237,fil_Latn,0.1779,7,2,0.25,mid
agr_Latn,Latn,32209,4.508,2.8761,0.351,0.2,35,0.4973,hub_Latn,1.0963,sun_Latn,0.3221,19,0,0.0,head
agt_Latn,Latn,16997,4.23,2.8841,0.464,0.2,79,0.7443,itv_Latn,0.7717,ibg_Latn,0.1744,12,0,0.0,mid
agu_Latn,Latn,22058,4.344,2.8148,-0.506,0.2,11,0.8486,mam_Latn,0.8486,mam_Latn,0.2206,9,0,0.0,head
agw_Latn,Latn,39173,4.593,2.8764,0.356,0.2,15,0.7978,stn_Latn,1.0024,mri_Latn,0.5364,25,0,0.0,head
agx_Cyrl,Cyrl,1958,3.292,2.9935,1.633,0.2,125,0.411,lez_Cyrl,0.4939,tab_Cyrl,0.1109,1,0,0.0,mid
aha_Latn,Latn,15133,4.18,2.8277,-0.325,0.2,54,0.7701,mev_Latn,0.8193,nzi_Latn,0.1513,13,0,0.0,mid
ahk_Latn,Latn,100000,5.0,2.6196,-3.238,0.2,1,0.7876,lhu_Latn,,,,132,0,0.0,head
aia_Latn,Latn,17546,4.244,2.8191,-0.446,0.2,36,0.9092,tzl_Latn,1.022,kwd_Latn,0.993,12,0,0.0,mid
aii_Syrc,Syrc,24440,4.388,2.6312,-0.674,0.2,2,0.7515,arc_Syrc,,,,16,0,0.0,head
aim_Latn,Latn,11048,4.043,2.8685,0.246,0.2,103,0.4432,rnl_Latn,0.4432,rnl_Latn,0.5024,10,0,0.0,mid
ain_Latn,Latn,4507,3.654,2.9163,0.914,0.2,102,0.726,mrv_Latn,0.9715,lad_Latn,0.4476,4,0,0.0,mid
ajg_Latn,Latn,29217,4.466,2.7985,-0.734,0.2,47,0.575,ewe_Latn,0.575,ewe_Latn,0.2922,29,3,0.1,head
aji_Latn,Latn,12641,4.102,2.7876,-0.887,0.2,27,0.9144,eto_Latn,1.1146,lij_Latn,0.3577,20,0,0.0,mid
ajz_Latn,Latn,11064,4.044,2.8783,0.383,0.2,71,0.584,mjw_Latn,0.584,mjw_Latn,0.9978,12,0,0.0,mid
akb_Latn,Latn,13505,4.131,2.9159,0.908,0.2,112,0.32,bbc_Latn,0.32,bbc_Latn,0.1351,14,2,0.133,mid
ake_Latn,Latn,17791,4.25,2.786,-0.909,0.2,20,0.9487,aqz_Latn,0.9961,mbc_Latn,0.6985,10,0,0.0,mid
akh_Latn,Latn,24012,4.38,2.7842,-0.934,0.2,0,1.0206,kdr_Latn,1.1902,jav_Latn,0.2401,8,0,0.0,head
akp_Latn,Latn,17785,4.25,2.7536,-1.362,0.2,20,0.9016,mev_Latn,1.0437,ewe_Latn,0.1779,18,0,0.0,mid
ald_Latn,Latn,11035,4.043,2.8114,-0.554,0.2,25,0.9137,mev_Latn,1.1653,bam_Latn,0.5902,9,0,0.0,mid
alj_Latn,Latn,13407,4.127,2.8517,0.01,0.2,57,0.7044,iry_Latn,0.7044,iry_Latn,0.9969,10,0,0.0,mid
aln_Latn,Latn,62542,4.796,2.8944,0.608,0.2,21,0.228,als_Latn,0.228,als_Latn,0.6254,58,16,0.271,twin
alp_Latn,Latn,17561,4.245,2.8064,-0.624,0.2,30,0.9033,mrv_Latn,1.1168,mas_Latn,0.5497,8,0,0.0,mid
alq_Latn,Latn,17867,4.252,2.8078,-0.604,0.2,24,0.9355,atj_Latn,1.1438,ojb_Latn,0.6732,11,1,0.083,mid
als_Latn,Latn,100000,5.0,2.9596,1.521,0.2,135,0.228,aln_Latn,,,,463,12,0.026,twin
alt_Cyrl,Cyrl,84843,4.929,2.8494,-0.267,0.2,49,0.5788,tyv_Cyrl,0.5788,tyv_Cyrl,0.8484,71,0,0.0,head
aly_Latn,Latn,6317,3.801,2.826,-0.349,0.2,40,0.5654,amx_Latn,0.8028,aer_Latn,0.513,6,0,0.0,mid
alz_Latn,Latn,92770,4.967,2.899,0.672,0.2,82,0.6663,luo_Latn,0.6663,luo_Latn,0.9277,84,0,0.0,head
ame_Latn,Latn,34032,4.532,2.8082,-0.599,0.2,1,0.9817,hoc_Latn,1.1649,ast_Latn,0.3403,33,1,0.029,head
amf_Latn,Latn,13325,4.125,2.8744,0.328,0.2,78,0.8042,npi_Latn,0.8561,gmv_Latn,0.4311,13,0,0.0,mid
amh_Ethi,Ethi,100000,5.0,2.7011,0.0,0.2,12,0.2915,tir_Ethi,,,,571,3,0.005,head
ami_Latn,Latn,87543,4.942,2.8707,0.276,0.2,22,0.809,szy_Latn,0.9575,pag_Latn,0.8754,85,0,0.0,head
amk_Latn,Latn,17696,4.248,2.8649,0.195,0.2,48,0.8973,mrv_Latn,1.0301,jav_Latn,0.177,8,0,0.0,mid
amm_Latn,Latn,24436,4.388,2.7719,-1.106,0.2,3,0.9803,drg_Latn,1.1825,swh_Latn,0.2444,7,0,0.0,head
amn_Latn,Latn,37915,4.579,2.8024,-0.679,0.2,1,0.9938,mgm_Latn,1.1589,swh_Latn,0.3791,22,0,0.0,head
amp_Latn,Latn,30724,4.487,2.8075,-0.608,0.2,12,0.9265,kas_Latn,1.1131,jav_Latn,0.3072,5,0,0.0,head
amr_Latn,Latn,23701,4.375,2.7651,-1.202,0.2,0,1.0253,otw_Latn,1.3452,bjn_Latn,0.857,5,0,0.0,head
amu_Latn,Latn,17900,4.253,2.7919,-0.826,0.2,5,0.8809,azg_Latn,1.3194,mto_Latn,0.7286,18,0,0.0,mid
amx_Latn,Latn,1656,3.219,2.9264,1.055,0.2,75,0.5654,aly_Latn,0.5654,aly_Latn,0.2621,1,0,0.0,mid
ang_Latn,Latn,490,2.691,3.4505,8.39,0.2,777,0.254,goh_Latn,0.3451,non_Latn,0.9761,0,2,2.0,flat_magnet
anm_Latn,Latn,30734,4.488,2.8476,-0.047,0.2,32,0.928,ory_Latn,0.9471,tcz_Latn,0.4478,33,1,0.029,head
ann_Latn,Latn,22124,4.345,2.8059,-0.63,0.2,10,0.9635,eto_Latn,1.0148,efi_Latn,0.2212,7,0,0.0,head
anp_Deva,Deva,4499,3.653,2.9713,1.454,0.2,70,0.0848,hin_Deva,0.0848,hin_Deva,0.045,4,209,41.8,tight_lowres
anv_Latn,Latn,17797,4.25,2.8127,-0.535,0.2,18,0.9225,lem_Latn,0.9336,ken_Latn,0.9996,6,0,0.0,mid
any_Latn,Latn,11974,4.078,2.8169,-0.477,0.2,29,0.8872,mev_Latn,0.9042,aha_Latn,0.7913,10,0,0.0,mid
aoi_Latn,Latn,3242,3.511,2.9308,1.117,0.2,69,0.7814,sby_Latn,1.0245,tel_Latn,0.8025,3,0,0.0,mid
aoj_Latn,Latn,55040,4.741,2.8691,0.254,0.2,0,1.0206,thv_Latn,1.211,swh_Latn,0.5504,24,0,0.0,head
aom_Latn,Latn,17715,4.248,2.8073,-0.611,0.2,4,0.9772,diu_Latn,1.1252,mcq_Latn,0.5666,14,0,0.0,mid
aoz_Latn,Latn,13501,4.13,2.8709,0.279,0.2,78,0.6453,aaz_Latn,0.6453,aaz_Latn,0.6498,10,0,0.0,mid
apb_Latn,Latn,10888,4.037,2.8505,-0.006,0.2,45,0.8633,mrv_Latn,1.0476,aia_Latn,0.6205,10,0,0.0,mid
apc_Arab,Arab,79058,4.898,2.7696,-1.477,0.2,24,0.0705,ars_Arab,0.1901,ary_Arab,0.7906,75,39,0.513,head
ape_Latn,Latn,59332,4.773,2.8745,0.329,0.2,2,0.9842,kas_Latn,1.1275,swh_Latn,0.5933,18,0,0.0,head
apn_Latn,Latn,16297,4.212,2.7956,-0.775,0.2,3,0.9808,txu_Latn,0.9808,txu_Latn,0.9467,11,0,0.0,mid
apr_Latn,Latn,24377,4.387,2.8169,-0.476,0.2,6,0.9532,eto_Latn,1.1513,sun_Latn,0.2438,9,0,0.0,head
apt_Latn,Latn,11049,4.043,2.8234,-0.385,0.2,62,0.8622,sby_Latn,0.9994,fuv_Latn,0.3613,13,0,0.0,mid
apu_Latn,Latn,11186,4.049,2.7773,-1.03,0.2,29,0.8869,aqz_Latn,1.0794,apy_Latn,0.3025,10,0,0.0,mid
apw_Latn,Latn,11058,4.044,2.7744,-1.071,0.2,23,0.6936,nav_Latn,0.6936,nav_Latn,0.1363,8,0,0.0,mid
apy_Latn,Latn,36974,4.568,2.8246,-0.369,0.2,5,0.9231,tpn_Latn,1.202,gug_Latn,0.3697,37,0,0.0,head
apz_Latn,Latn,24230,4.384,2.7991,-0.726,0.2,0,1.0286,diu_Latn,1.2836,kck_Latn,0.9219,16,0,0.0,head
aqz_Latn,Latn,271,2.435,3.8054,13.357,0.2,1304,0.097,bor_Latn,0.1583,max_Latn,0.8138,0,0,0.0,flat_magnet
arb_Arab,Arab,100000,5.0,2.8319,-0.174,0.2,23,0.1522,ars_Arab,,,,5756,15,0.003,head
arb_Latn,Latn,847,2.928,3.1921,4.774,0.2,514,0.4423,kas_Latn,0.522,snd_Latn,0.2039,1,1,0.5,isolated_tail
arc_Syrc,Syrc,410,2.614,3.0708,7.376,0.2,84,0.0804,syc_Syrc,0.0804,syc_Syrc,0.0577,0,0,0.0,flat_magnet
are_Latn,Latn,6673,3.824,2.8189,-0.449,0.2,45,0.8339,aqz_Latn,1.1109,dhm_Latn,0.6033,5,0,0.0,mid
arg_Latn,Latn,25914,4.414,3.0334,2.552,0.2,295,0.2054,ast_Latn,0.2054,ast_Latn,0.2591,27,67,2.393,flat_magnet
arl_Latn,Latn,24447,4.388,2.7979,-0.743,0.2,0,1.0208,diu_Latn,1.2354,cni_Latn,0.7479,10,0,0.0,head
arn_Latn,Latn,100000,5.0,2.8372,-0.192,0.2,20,0.8863,ext_Latn,,,,127,0,0.0,head
arp_Latn,Latn,1963,3.293,2.8314,-0.273,0.2,78,0.7259,ldn_Latn,0.9599,guj_Latn,0.4823,3,0,0.0,mid
arq_Arab,Arab,2712,3.433,3.0322,4.023,0.2,99,0.2507,ary_Arab,0.2507,ary_Arab,0.0271,3,2,0.5,tight_lowres
arr_Latn,Latn,572,2.758,3.6707,11.472,0.2,998,0.1744,bor_Latn,0.2023,eme_Latn,0.8868,0,0,0.0,flat_magnet
ars_Arab,Arab,18539,4.268,2.8443,0.087,0.2,40,0.0583,acm_Arab,0.0705,apc_Arab,0.2345,19,272,13.6,head
ary_Arab,Arab,100000,5.0,2.8424,0.046,0.2,26,0.1254,ars_Arab,,,,157,97,0.614,head
arz_Arab,Arab,100000,5.0,2.8905,1.054,0.2,26,0.26,arb_Arab,,,,168,170,1.006,head
asg_Latn,Latn,17719,4.248,2.8455,-0.077,0.2,44,0.4927,kdl_Latn,1.0655,hau_Latn,0.1772,11,0,0.0,mid
asm_Beng,Beng,100000,5.0,2.6578,-0.96,0.2,5,0.2994,ben_Beng,,,,239,4,0.017,head
asm_Latn,Latn,455,2.659,3.4908,8.954,0.2,1159,0.2767,ben_Latn,0.2767,ben_Latn,0.1164,0,3,3.0,flat_magnet
aso_Latn,Latn,23837,4.377,2.7985,-0.734,0.2,1,0.9926,gah_Latn,0.9926,gah_Latn,0.9787,17,0,0.0,head
ast_Latn,Latn,100000,5.0,3.0344,2.566,0.2,245,0.2054,arg_Latn,,,,862,96,0.111,head
ata_Latn,Latn,27005,4.431,2.781,-0.979,0.2,0,1.0003,diu_Latn,1.177,leu_Latn,0.7653,15,0,0.0,head
atb_Latn,Latn,25098,4.4,2.8138,-0.521,0.2,5,0.9602,goh_Latn,1.2155,kac_Latn,0.251,9,0,0.0,head
atd_Latn,Latn,17597,4.245,2.8679,0.237,0.2,41,0.5055,mbd_Latn,0.9971,pag_Latn,0.176,9,0,0.0,mid
atg_Latn,Latn,17802,4.25,2.7928,-0.814,0.2,34,0.8231,iso_Latn,0.8231,iso_Latn,0.178,13,0,0.0,mid
ati_Latn,Latn,10154,4.007,2.7274,-1.729,0.2,42,0.8786,mev_Latn,0.999,daf_Latn,0.9686,12,1,0.077,mid
atj_Latn,Latn,1662,3.221,3.0052,2.158,0.2,218,0.5868,csw_Latn,0.7444,avk_Latn,0.5438,1,0,0.0,mid
atq_Latn,Latn,6661,3.824,2.9074,0.79,0.2,85,0.5363,ptu_Latn,0.5363,ptu_Latn,0.3775,9,0,0.0,mid
att_Latn,Latn,17829,4.251,2.8861,0.492,0.2,37,0.7984,ibg_Latn,0.7984,ibg_Latn,0.1829,8,0,0.0,mid
auc_Latn,Latn,17817,4.251,2.7716,-1.111,0.2,0,1.0201,eto_Latn,1.2684,lij_Latn,0.5042,8,0,0.0,mid
aui_Latn,Latn,4581,3.661,2.9567,1.48,0.2,118,0.5889,bmk_Latn,0.6106,pwg_Latn,0.1872,3,0,0.0,mid
auy_Latn,Latn,24037,4.381,2.8407,-0.144,0.2,4,0.4007,kze_Latn,0.4007,kze_Latn,0.9999,8,0,0.0,head
ava_Cyrl,Cyrl,17634,4.246,2.8178,-0.684,0.2,31,0.6031,dar_Cyrl,0.6672,tab_Cyrl,0.9991,15,1,0.062,mid
avk_Latn,Latn,3056,3.485,3.253,5.626,0.2,751,0.4067,tzl_Latn,0.5433,gos_Latn,0.7745,5,2,0.333,flat_magnet
avn_Latn,Latn,11063,4.044,2.8573,0.089,0.2,69,0.7558,mev_Latn,0.8047,bov_Latn,0.624,8,0,0.0,mid
avt_Latn,Latn,24340,4.386,2.8067,-0.619,0.2,3,0.9758,aqz_Latn,1.2542,bjn_Latn,0.8801,8,0,0.0,head
avu_Latn,Latn,17019,4.231,2.7847,-0.927,0.2,2,0.9403,kbo_Latn,1.4586,bss_Latn,0.9576,14,0,0.0,mid
awa_Deva,Deva,18700,4.272,2.8884,0.31,0.2,34,0.2531,bho_Deva,0.2531,bho_Deva,0.3349,19,3,0.15,head
awb_Latn,Latn,24529,4.39,2.8273,-0.331,0.2,1,0.9682,tpw_Latn,1.015,usa_Latn,0.9909,9,0,0.0,head
awi_Latn,Latn,6621,3.821,2.8529,0.028,0.2,68,0.8205,aqz_Latn,1.0312,jav_Latn,0.0662,6,0,0.0,mid
awx_Latn,Latn,4174,3.621,2.9006,0.695,0.2,78,0.7438,vot_Latn,0.9389,iou_Latn,0.1301,1,0,0.0,mid
ayo_Latn,Latn,6717,3.827,2.849,-0.028,0.2,44,0.856,tpw_Latn,0.9763,ext_Latn,0.7728,9,0,0.0,mid
ayp_Arab,Arab,6764,3.83,2.7969,-0.907,0.2,36,0.4431,aeb_Arab,0.4431,aeb_Arab,0.2618,3,0,0.0,mid
ayr_Latn,Latn,100000,5.0,2.8804,0.412,0.2,62,0.8565,kas_Latn,,,,487,1,0.002,head
azb_Arab,Arab,100000,5.0,2.854,0.29,0.2,30,0.3336,glk_Arab,,,,255,10,0.039,head
azg_Latn,Latn,17785,4.25,2.8047,-0.648,0.2,3,0.8809,amu_Latn,0.8809,amu_Latn,0.9936,18,0,0.0,mid
azj_Cyrl,Cyrl,26412,4.422,2.836,-0.444,0.2,26,0.7123,uig_Cyrl,0.7123,uig_Cyrl,0.6702,29,1,0.033,head
azj_Latn,Latn,100000,5.0,2.922,0.995,0.2,80,0.4586,tly_Latn,,,,1234,5,0.004,head
azz_Latn,Latn,17799,4.25,2.8642,0.185,0.2,27,0.6127,nuz_Latn,0.6149,nhw_Latn,0.999,10,0,0.0,mid
bak_Cyrl,Cyrl,100000,5.0,2.8446,-0.331,0.2,58,0.3039,tat_Cyrl,,,,266,7,0.026,head
bal_Arab,Arab,39095,4.592,2.8393,-0.018,0.2,30,0.4246,brh_Arab,0.4461,urd_Arab,0.391,35,4,0.111,head
bam_Latn,Latn,18697,4.272,2.9881,1.919,0.2,337,0.1732,dyu_Latn,0.1732,dyu_Latn,0.187,20,8,0.381,head
ban_Latn,Latn,41792,4.621,3.0252,2.439,0.2,263,0.4084,jav_Latn,0.4084,jav_Latn,0.4179,25,1,0.038,head
bao_Latn,Latn,17847,4.252,2.7947,-0.787,0.2,19,0.703,tav_Latn,0.989,tuo_Latn,0.632,14,0,0.0,mid
bar_Latn,Latn,100000,5.0,2.9279,1.076,0.2,231,0.2472,pfl_Latn,,,,115,27,0.233,head
bas_Latn,Latn,100000,5.0,2.8364,-0.204,0.2,25,0.8163,bum_Latn,,,,96,1,0.01,head
bav_Latn,Latn,17825,4.251,2.746,-1.469,0.2,0,1.0056,kdr_Latn,1.218,mcp_Latn,0.8086,18,0,0.0,mid
bba_Latn,Latn,84918,4.929,2.8592,0.116,0.2,8,0.9267,bam_Latn,1.0798,dyu_Latn,0.8492,65,0,0.0,head
bbb_Latn,Latn,21471,4.332,2.7897,-0.857,0.2,6,0.7333,nvm_Latn,0.7333,nvm_Latn,0.9544,19,0,0.0,head
bbc_Latn,Latn,100000,5.0,2.9391,1.234,0.2,125,0.32,akb_Latn,,,,248,2,0.008,head
bbj_Latn,Latn,11052,4.043,2.7689,-1.149,0.2,26,0.9182,kdr_Latn,1.0511,nnw_Latn,0.6253,8,0,0.0,mid
bbk_Latn,Latn,4286,3.632,2.7827,-0.955,0.2,50,0.8406,eto_Latn,0.9204,bmv_Latn,0.389,3,0,0.0,mid
bbo_Latn,Latn,6704,3.826,2.8488,-0.031,0.2,85,0.6107,bwq_Latn,0.6107,bwq_Latn,0.4963,6,0,0.0,mid
bbr_Latn,Latn,23818,4.377,2.818,-0.462,0.2,22,0.9586,mgm_Latn,1.1915,teo_Latn,0.5695,8,0,0.0,head
bch_Latn,Latn,22386,4.35,2.8131,-0.53,0.2,27,0.9412,mrv_Latn,1.0951,mak_Latn,0.8594,12,0,0.0,head
bci_Latn,Latn,100000,5.0,2.7603,-1.268,0.2,5,0.9081,bam_Latn,,,,308,0,0.0,head
bcl_Latn,Latn,100000,5.0,2.9666,1.619,0.2,194,0.4759,fil_Latn,,,,1009,3,0.003,head
bco_Latn,Latn,3937,3.595,2.8491,-0.026,0.2,65,0.8121,zpj_Latn,1.0129,gos_Latn,0.9977,3,0,0.0,mid
bcw_Latn,Latn,17698,4.248,2.7638,-1.219,0.2,11,0.9097,hig_Latn,0.9155,gde_Latn,0.995,14,0,0.0,mid
bdd_Latn,Latn,30992,4.491,2.8275,-0.328,0.2,8,0.5237,dob_Latn,0.5237,dob_Latn,0.9987,14,0,0.0,head
bdh_Latn,Latn,12360,4.092,2.8055,-0.636,0.2,22,0.9273,zpj_Latn,1.2308,tar_Latn,0.2645,11,0,0.0,mid
bdq_Latn,Latn,4240,3.627,2.8156,-0.495,0.2,49,0.7161,jra_Latn,0.7161,jra_Latn,0.2147,4,0,0.0,mid
bea_Latn,Latn,1152,3.062,3.1231,3.808,0.2,255,0.5478,vot_Latn,0.7021,lwg_Latn,0.8276,2,0,0.0,mid
bef_Latn,Latn,24278,4.385,2.8323,-0.262,0.2,3,0.97,tkl_Latn,1.0335,kyg_Latn,0.8965,16,0,0.0,head
bel_Cyrl,Cyrl,100000,5.0,2.7884,-1.071,0.2,47,0.3941,rue_Cyrl,,,,652,15,0.023,head
bem_Latn,Latn,100000,5.0,2.9213,0.984,0.2,160,0.4337,lam_Latn,,,,1223,6,0.005,head
ben_Beng,Beng,100000,5.0,2.6946,0.389,0.2,5,0.2994,asm_Beng,,,,1582,2,0.001,head
ben_Latn,Latn,3910,3.592,3.1485,4.164,0.2,623,0.2767,asm_Latn,0.3824,mar_Latn,0.9964,6,8,1.143,mid
beq_Latn,Latn,11039,4.043,2.9393,1.237,0.2,137,0.6345,ldi_Latn,0.6345,ldi_Latn,0.2147,8,0,0.0,mid
bew_Latn,Latn,16291,4.212,3.0542,2.845,0.2,226,0.3107,ind_Latn,0.3107,ind_Latn,0.1629,17,16,0.889,mid
bex_Latn,Latn,22281,4.348,2.8264,-0.343,0.2,17,0.6683,mgc_Latn,1.2088,kck_Latn,0.8477,26,0,0.0,head
bfd_Latn,Latn,17820,4.251,2.8235,-0.384,0.2,17,0.8774,pny_Latn,1.0212,bav_Latn,0.9997,9,0,0.0,mid
bfo_Latn,Latn,13446,4.129,2.7991,-0.725,0.2,39,0.4885,dgi_Latn,0.4885,dgi_Latn,0.9947,14,0,0.0,mid
bgr_Latn,Latn,17611,4.246,2.8423,-0.122,0.2,66,0.5631,cfm_Latn,0.5631,cfm_Latn,0.2181,9,2,0.2,mid
bgs_Latn,Latn,19527,4.291,2.8661,0.212,0.2,34,0.9149,zpj_Latn,1.0059,pam_Latn,0.5715,10,0,0.0,head
bgt_Latn,Latn,10924,4.038,2.8555,0.063,0.2,60,0.7411,nlg_Latn,0.7411,nlg_Latn,0.6544,9,0,0.0,mid
bgz_Latn,Latn,13364,4.126,2.9235,1.014,0.2,90,0.7999,drg_Latn,0.8683,blz_Latn,0.7499,14,0,0.0,mid
bhg_Latn,Latn,7106,3.852,2.8769,0.363,0.2,72,0.5692,nou_Latn,0.5692,nou_Latn,0.2323,3,1,0.25,mid
bhl_Latn,Latn,27070,4.433,2.872,0.295,0.2,13,0.9616,eto_Latn,0.9997,fai_Latn,0.9383,16,0,0.0,head
bho_Deva,Deva,55844,4.747,2.9049,0.537,0.2,30,0.1478,anp_Deva,0.1661,hin_Deva,0.5584,36,37,1.0,head
bhp_Latn,Latn,8035,3.905,2.9209,0.979,0.2,134,0.7521,ory_Latn,0.874,bug_Latn,0.5443,6,0,0.0,mid
bhw_Latn,Latn,96876,4.986,2.8264,-0.344,0.2,32,0.8542,ind_Latn,0.8542,ind_Latn,0.9688,85,0,0.0,head
bhz_Latn,Latn,6727,3.828,2.8994,0.678,0.2,80,0.7407,npy_Latn,0.7407,npy_Latn,0.5075,9,0,0.0,mid
bib_Latn,Latn,17804,4.251,2.7768,-1.037,0.2,26,0.8721,biv_Latn,0.965,xsm_Latn,0.7276,17,0,0.0,mid
big_Latn,Latn,24303,4.386,2.7926,-0.817,0.2,0,1.0226,sby_Latn,1.2354,jav_Latn,0.243,7,0,0.0,head
