lang,script,N,logN,H,zH,peak,k_close,d_nn,nn_lang,d_up,target_lang,up_resratio,support_val,fp_val,magnet_ratio,category
mlh_Latn,Latn,31269,4.495,2.803,-0.672,0.2,1,0.9876,bor_Latn,1.2222,luo_Latn,0.3127,6,0,0.0,head
mlp_Latn,Latn,24038,4.381,2.8074,-0.61,0.2,5,0.9625,kas_Latn,1.1658,bjn_Latn,0.8692,9,0,0.0,head
mlt_Latn,Latn,100000,5.0,2.9368,1.202,0.2,134,0.6761,nov_Latn,,,,1792,138,0.077,head
mlu_Latn,Latn,815,2.912,3.3339,6.759,0.2,617,0.3675,mrv_Latn,0.5617,ddg_Latn,0.6019,0,0,0.0,flat_magnet
mmn_Latn,Latn,11023,4.042,2.8772,0.368,0.2,75,0.7879,clu_Latn,0.8177,bcl_Latn,0.1102,8,0,0.0,mid
mmo_Latn,Latn,24576,4.391,2.8502,-0.01,0.2,20,0.957,kas_Latn,1.1151,bjn_Latn,0.8887,16,0,0.0,head
mmx_Latn,Latn,28734,4.458,2.8788,0.389,0.2,42,0.905,mgm_Latn,0.9974,sun_Latn,0.2873,20,0,0.0,head
mna_Latn,Latn,33077,4.52,2.8601,0.128,0.2,28,0.952,thv_Latn,1.008,tuc_Latn,0.7838,19,0,0.0,head
mnb_Latn,Latn,13514,4.131,2.9002,0.689,0.2,71,0.8496,drg_Latn,0.9616,hvn_Latn,0.9672,11,0,0.0,mid
mnf_Latn,Latn,13467,4.129,2.8093,-0.583,0.2,24,0.931,zpj_Latn,0.9995,bfd_Latn,0.7557,12,0,0.0,mid
mni_Beng,Beng,41766,4.621,2.6551,-1.058,0.2,5,0.3193,ben_Beng,0.3193,ben_Beng,0.4177,45,1,0.022,head
mni_Latn,Latn,889,2.949,3.309,6.411,0.2,766,0.3905,ory_Latn,0.5304,prg_Latn,0.9978,0,2,2.0,flat_magnet
mni_Mtei,Mtei,3424,3.535,2.7077,0.0,0.2,17,0.925,lad_Hebr,,,,4,0,0.0,mid
mnk_Latn,Latn,13537,4.132,2.8467,-0.06,0.2,52,0.8334,kao_Latn,0.9357,bam_Latn,0.724,10,0,0.0,mid
