lang,n_scoreable,n_self_won,tau,excluded
btd_Latn,2000,1992,34.71585464477539,False
bth_Latn,2000,1999,53.076246643066405,False
btt_Latn,2000,2000,67.12529144287109,False
bud_Latn,2000,2000,81.6941925048828,False
bug_Latn,2000,1931,16.167221069335938,False
bvc_Latn,2000,1999,28.984461975097656,False
bvd_Latn,2000,1996,23.387149810791016,False
bvr_Latn,2000,1999,115.25260162353516,False
bvz_Latn,2000,2000,123.61835174560548,False
bwd_Latn,2000,1990,35.47838287353515,False
bwi_Latn,221,219,51.703504943847655,False
bwq_Latn,2000,1999,32.95977630615234,False
bwu_Latn,2000,2000,53.304682922363284,False
bxh_Latn,2000,2000,44.10805702209473,False
byv_Latn,1735,1724,43.417823028564456,False
byx_Latn,2000,2000,89.49585189819337,False
bzi_Thai,2000,2000,105.94352264404297,False
caa_Latn,2000,1999,94.3267578125,False
caf_Latn,2000,1986,9.093238830566406,False
cag_Latn,2000,1993,73.147705078125,False
cao_Latn,2000,2000,76.78231964111328,False
cas_Latn,2000,2000,104.75474090576172,False
cav_Latn,2000,1999,82.41234436035157,False
cbc_Latn,2000,1999,97.92444763183593,False
cbi_Latn,2000,2000,78.95455169677734,False
cbt_Latn,2000,2000,94.417333984375,False
cbu_Latn,2000,1999,76.77713775634766,False
cco_Latn,2000,2000,178.237296295166,False
ccp_Latn,2000,1998,38.919551086425784,False
cdf_Latn,2000,2000,50.07321624755859,False
cdo_Latn,2000,1998,125.24282989501954,False
ceg_Latn,2000,2000,84.69629669189453,False
cgc_Latn,2000,1989,54.4668212890625,False
chj_Latn,2000,2000,113.4013069152832,False
cho_Latn,1031,1026,19.706039428710938,False
chq_Latn,2000,2000,115.93527069091797,False
chr_Cher,2000,2000,205.56315231323242,False
chr_Latn,2000,1999,76.22601470947265,False
chz_Latn,2000,2000,154.12511138916017,False
cjo_Latn,2000,1986,12.315528869628906,False
cjp_Latn,2000,1997,70.66354064941406,False
cjs_Cyrl,1320,1320,41.64427795410156,False
cko_Latn,2000,2000,53.45380172729492,False
ckt_Cyrl,2000,1973,12.936984252929689,False
cle_Latn,2000,2000,145.50470123291015,False
clu_Latn,2000,1990,17.22194900512695,False
cly_Latn,2000,1648,12.126743316650392,False
cme_Latn,2000,2000,72.09834594726563,False
cmo_Khmr,2000,2000,148.1859474182129,False
cmo_Latn,2000,1990,110.17864990234375,False
cmr_Latn,2000,2000,73.71304550170899,False
cnk_Latn,2000,1227,1.4508514404296875,False
cnl_Latn,2000,2000,121.10916900634766,False
cnt_Latn,2000,2000,132.5398078918457,False
cnw_Latn,2000,1999,24.566012573242187,False
coe_Latn,2000,2000,104.63025131225587,False
cof_Latn,2000,1998,74.44059753417969,False
con_Latn,2000,2000,78.02479400634766,False
cos_Latn,2000,1963,4.44180908203125,False
cot_Latn,2000,1996,45.10163497924805,False
cou_Latn,2000,2000,62.95622177124024,False
cpa_Latn,2000,2000,100.09024963378907,False
cpb_Latn,2000,1981,10.185539245605469,False
cpc_Latn,2000,1998,11.163717651367188,False
cpu_Latn,2000,1986,10.99709701538086,False
cpy_Latn,2000,1997,19.22579345703125,False
crh_Latn,2000,1928,5.829244995117188,False
cri_Latn,2000,1846,18.92445945739746,False
crj_Cans,2000,2000,72.47518692016601,False
crk_Cans,2000,1942,55.27156448364258,False
crk_Latn,2000,1979,55.97783355712891,False
crl_Cans,2000,2000,44.16734848022461,False
crm_Cans,2000,1996,35.99795913696289,False
crt_Latn,2000,2000,89.12416000366211,False
crx_Latn,2000,1994,13.223254394531251,False
csb_Latn,2000,1965,14.718330383300781,False
csk_Latn,2000,1999,46.03420715332031,False
cso_Latn,2000,1999,125.62052612304689,False
csw_Cans,124,121,-inf,True
csw_Latn,247,243,37.17747802734375,False
cta_Latn,2000,2000,96.8892936706543,False
cto_Latn,2000,1902,45.25854301452637,False
cub_Latn,2000,2000,102.28029098510743,False
cuc_Latn,2000,2000,122.12921752929688,False
cui_Latn,2000,2000,101.39427947998047,False
cul_Latn,2000,2000,112.30194396972657,False
cut_Latn,2000,2000,82.81441726684571,False
cux_Latn,2000,2000,121.05804977416992,False
cwd_Cans,231,228,4.198688507080079,False
cwe_Latn,2000,1984,6.798837661743164,False
cwt_Latn,2000,2000,54.45323791503906,False
cya_Latn,2000,1953,3.332449340820313,False
daa_Latn,2000,2000,65.094287109375,False
daf_Latn,2000,2000,74.32686576843263,False
dag_Latn,2000,1990,82.81332092285156,False
dak_Latn,2000,2000,68.32279891967774,False
dar_Cyrl,1870,1859,36.45985870361328,False
dbq_Latn,2000,2000,84.5376220703125,False
